Seleziona,Data,Mese,Anno,Base Provvigione,IVA,Ritenuta,Enasarco,Bonifico Finale
False,17/12/2024,Aprile,2024,5897.6,1297.47,678.22,0.0,6516.85
False,17/12/2024,Gennaio,2024,6560.67,1443.35,754.48,0.0,7249.54
False,17/12/2024,Marzo,2024,7437.0,1636.14,855.25,0.0,8217.89
False,17/12/2024,Febbraio,2024,14861.5,3269.53,1709.07,0.0,16421.96
False,17/12/2024,Novembre,2024,14261.14,3137.45,1640.03,0.0,15758.56
False,17/12/2024,Dicembre,2024,8385.2,1844.74,964.3,0.0,9265.64
False,17/12/2024,Maggio,2024,6369.78,1401.35,732.52,0.0,7038.61
False,17/12/2024,Giugno,2024,6517.58,1433.87,749.52,0.0,7201.93
False,17/12/2024,Luglio,2024,7607.23,1673.59,874.83,0.0,8405.99
False,17/12/2024,Agosto,2024,9532.01,2097.04,1096.18,0.0,10532.87
False,17/12/2024,Settembre,2024,6601.35,1452.3,759.16,0.0,7294.49
False,17/12/2024,Ottobre,2024,26115.64,5745.44,3003.3,0.0,28857.78
