Seleziona,Data,Mese,Anno,Categoria,Importo Lordo,IVA,IVA Detraibile,Importo Deducibile,Note
False,17/12/2024,Gennaio,2024,Carburante,284.97,51.388032786885255,20.56,186.87,
False,17/12/2024,Gennaio,2024,Manutenzione Veicolo,0.0,0.0,0.0,0.0,
False,17/12/2024,Gennaio,2024,Assicurazione Auto,0.0,0.0,0.0,0.0,
False,17/12/2024,Gennaio,2024,Bollo Auto,0.0,0.0,0.0,0.0,
False,17/12/2024,Gennaio,2024,Vitto,0.0,0.0,0.0,0.0,
False,17/12/2024,Gennaio,2024,Hotel,102.0,9.272727272727272,9.27,69.55,
False,17/12/2024,Gennaio,2024,Consulenze,0.0,0.0,0.0,0.0,
False,17/12/2024,Gennaio,2024,Sponsorizzazioni,0.0,0.0,0.0,0.0,
False,17/12/2024,Gennaio,2024,Iva Versata,4000.0,0.0,0.0,0.0,arretrato
False,17/12/2024,Gennaio,2024,Contributi inps,1513.91,0.0,0.0,1513.91,arretrato
False,17/12/2024,Gennaio,2024,Bolletta luce,253.37,45.689672131147546,18.28,103.84,arretrato
False,17/12/2024,Gennaio,2024,Bolletta Acqua,125.39,22.61131147540984,9.04,51.39,arretrato
False,17/12/2024,Gennaio,2024,Iva Versata,67.86,0.0,0.0,0.0,arretrato
False,17/12/2024,Gennaio,2024,Bolletta luce,125.61,22.65098360655738,9.06,51.48,
False,17/12/2024,Gennaio,2024,Bolletta telefono,51.18,9.229180327868852,9.23,33.56,
False,17/12/2024,Gennaio,2024,Bolletta telefono,51.18,9.229180327868852,9.23,33.56,
False,17/12/2024,Gennaio,2024,telepass,232.96,42.00918032786885,0.0,190.95,
False,17/12/2024,Febbraio,2024,Iva Versata,67.86,0.0,0.0,0.0,
False,17/12/2024,Febbraio,2024,Iva Versata,1387.09,0.0,0.0,0.0,
False,17/12/2024,Febbraio,2024,Bolletta luce,302.1,54.477049180327874,21.79,123.81,
False,17/12/2024,Febbraio,2024,Bolletta telefono,51.18,9.229180327868852,9.23,33.56,
False,17/12/2024,Febbraio,2024,Bolletta telefono,51.18,9.229180327868852,9.23,33.56,
False,17/12/2024,Febbraio,2024,Bolletta luce,88.56,15.969836065573771,6.39,36.3,gas
False,17/12/2024,Febbraio,2024,Assicurazione Auto,735.0,0.0,0.0,735.0,
False,17/12/2024,Febbraio,2024,Contributi inps,1073.12,0.0,0.0,1073.12,
False,17/12/2024,Febbraio,2024,Hotel,246.0,22.363636363636363,22.36,167.73,
False,17/12/2024,Febbraio,2024,Hotel,135.5,12.318181818181818,12.32,92.39,
False,17/12/2024,Febbraio,2024,Carburante,208.19,37.54245901639344,15.02,136.52,
False,17/12/2024,Febbraio,2024,telepass,141.41,25.50016393442623,0.0,115.91,
